LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,0,229.6,89.06,2,5.679999828,4
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,1,226.97,90.09,2,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,2,245.68,83.23,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,3,274.92,74.38,2,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,4,264.34,77.35,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,5,226.55,90.26,3,5.679999828,1.63
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,6,216.11,94.62,3,5.679999828,1.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,7,261.04,78.33,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,8,301.86,67.74,5,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,9,301.86,67.74,5,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,10,239.82,85.26,3,5.679999828,2.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,11,301.86,67.74,5,5.679999828,2.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,12,266.35,76.77,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,13,304.47,67.16,3,5.679999828,1.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,14,280.57,72.88,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,15,301.86,67.74,5,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,16,239.64,85.33,2,5.679999828,4
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,17,250.81,81.53,2,5.679999828,6
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,18,317.14,64.48,2,5.679999828,10
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,19,250.21,81.72,2,5.679999828,10
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,20,242.71,84.25,2,5.679999828,10.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,21,313.75,65.17,2,5.679999828,14
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,22,249.57,81.93,2,5.679999828,17.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,23,251.62,81.27,2,5.679999828,25.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,24,304.29,67.2,1,5.679999828,28.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,25,304.29,67.2,1,5.679999828,35.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,26,304.29,67.2,1,5.679999828,41.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,27,304.29,67.2,1,5.679999828,53
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,28,281.15,72.73,1,5.679999828,68
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,29,281.15,72.73,1,5.679999828,81
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,30,272.21,75.12,1,5.679999828,112
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,31,263.27,77.67,1,5.679999828,108
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,32,263.27,77.67,1,5.679999828,97.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,33,325.19,62.88,1,5.679999828,120.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,34,325.19,62.88,1,5.679999828,94
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,35,325.19,62.88,1,5.679999828,95
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,36,325.19,62.88,1,5.679999828,74.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,37,288.98,70.76,2,5.679999828,78.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,38,303.31,67.42,2,5.679999828,71.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,39,303.65,67.34,2,5.679999828,64.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,40,311.71,65.6,2,5.679999828,67
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,41,360.23,56.76,2,5.679999828,68
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,42,347.63,58.82,2,5.679999828,69
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,43,814.23,25.11,2,5.679999828,63
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,44,651.06,31.41,2,5.679999828,65
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,45,423.7,48.26,2,5.679999828,69.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,46,307.53,66.49,2,5.679999828,65.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,47,302.93,67.5,2,5.679999828,66.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,48,329.17,62.12,1,5.679999828,70.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,49,329.17,62.12,1,5.679999828,70.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,50,329.17,62.12,1,5.679999828,70
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,51,329.17,62.12,1,5.679999828,65
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,52,294,69.55,1,5.679999828,68
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,53,294,69.55,1,5.679999828,71.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,54,294,69.55,1,5.679999828,69.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,55,294,69.55,1,5.679999828,75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,56,295.42,69.22,2,5.679999828,68.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,57,288.01,71,2,5.679999828,69.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,58,307.93,66.4,2,5.679999828,80.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,59,300.06,68.15,2,5.679999828,80.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,60,297.72,68.68,2,5.679999828,75.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,61,286.02,71.49,2,5.679999828,74
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,62,293.32,69.71,2,5.679999828,75.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,63,300.33,68.09,2,5.679999828,86
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,64,306.18,66.78,2,5.679999828,78
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,65,282.98,72.26,1,5.679999828,93
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,66,282.98,72.26,1,5.679999828,83.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,67,282.98,72.26,1,5.679999828,88
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,68,282.98,72.26,1,5.679999828,88
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,69,282.31,72.43,1,5.679999828,91.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,70,282.31,72.43,1,5.679999828,82.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,71,282.31,72.43,1,5.679999828,79.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,72,282.31,72.43,1,5.679999828,62
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,73,278.03,73.55,2,5.679999828,65.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,74,284.68,71.83,2,5.679999828,52.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,75,283.66,72.09,2,5.679999828,50.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,76,282.17,72.47,2,5.679999828,46.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,77,278,73.55,2,5.679999828,41.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,78,262.57,77.88,2,5.679999828,35
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,79,253.24,80.75,2,5.679999828,35
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,80,269.02,76.01,2,5.679999828,27
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,81,235.82,86.71,2,5.679999828,26.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,82,267.69,76.39,2,5.679999828,26.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,83,263.6,77.57,2,5.679999828,24
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,84,263.31,77.66,2,5.679999828,20.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,85,287.58,71.1,2,5.679999828,19.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,86,269.7,75.82,2,5.679999828,20.25
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,87,272.57,75.02,2,5.679999828,17.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,88,295.08,69.3,2,5.679999828,17.75
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,89,242.17,84.44,2,5.679999828,14.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,90,212.94,96.03,2,5.679999828,10
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,91,267.9,76.33,2,5.679999828,11
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,92,272.46,75.05,2,5.679999828,7
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,93,264.86,77.2,2,5.679999828,6
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,94,229.77,88.99,2,5.679999828,5.5
AL2473,A49 between A40 and A4137 (AL2473),7/1/2014 0:00,95,239.97,85.21,2,5.679999828,5
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,0,314.95,64.92,2,5.679999828,4
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,1,269.06,76,2,5.679999828,4.25
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,2,266.88,76.62,3,5.679999828,2.13
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,3,286.87,71.28,2,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,4,301.86,67.74,5,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,5,185.89,110,3,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,6,288.42,70.9,2,5.679999828,2.25
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,7,298.14,68.59,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,8,258.53,79.09,2,5.679999828,2.25
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,9,303.69,67.33,2,5.679999828,3
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,10,266.4,76.76,2,5.679999828,2
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,11,238.33,85.8,2,5.679999828,4
AL2473,A49 between A40 and A4137 (AL2473),7/2/2014 0:00,12,239.02,85.55,2,5.679999828,2.5
