LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,0,83.75,110.9,3,2.579999924,32.25
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,1,82.77,112.21,3,2.579999924,25
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,2,91.42,101.6,3,2.579999924,23.75
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,3,106.76,87,3,2.579999924,19.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,4,95.66,97.09,3,2.579999924,19.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,5,81.96,113.32,3,2.579999924,20.25
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,6,84.68,109.68,3,2.579999924,17
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,7,90.57,102.55,3,2.579999924,18
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,8,75.38,123.22,3,2.579999924,17
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,9,92.11,100.84,3,2.579999924,16.25
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,10,86,108,3,2.579999924,15.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,11,98.29,94.5,1,2.579999924,17
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,12,98.29,94.5,1,2.579999924,20.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,13,98.29,94.5,1,2.579999924,15.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,14,98.29,94.5,1,2.579999924,19.75
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,15,101.76,91.27,1,2.579999924,21.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,16,105.22,88.27,1,2.579999924,18
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,17,105.22,88.27,1,2.579999924,24.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,18,105.22,88.27,1,2.579999924,31.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,19,105.22,88.27,1,2.579999924,39.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,20,87.8,105.79,3,2.579999924,44.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,21,88.46,105,1,2.579999924,57.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,22,88.46,105,1,2.579999924,72.75
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,23,88.46,105,1,2.579999924,101
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,24,132.55,70.07,1,2.579999924,119
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,25,113.54,81.8,1,2.579999924,163.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,26,94.52,98.26,1,2.579999924,246
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,27,105.45,88.08,1,2.579999924,321.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,28,78.64,118.11,1,2.579999924,432
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,29,80,116.1,1,2.579999924,523.5
AL2524,A417 between A46 and M5 J11A (AL2524),7/1/2014 0:00,30,117.08,79.33,1,2.579999924,608
